disturbance_shape,method,count,future_lab_obs_abs_error_mean,future_lab_obs_abs_error_std,future_lab_true_abs_error_diagnostic_mean,future_lab_true_abs_error_diagnostic_std,dense_true_mae_h20_mean,dense_true_mae_h20_std,dense_true_mae_h40_mean,dense_true_mae_h40_std,dense_true_mae_h50_mean,dense_true_mae_h50_std
none,current_reencode,60,0.8994920470497825,0.24022110592585008,0.8990387916564941,0.15066027237398236,0.9058040416240694,0.13462066129111552,0.9049043055375419,0.13618138550782713,0.9034492322603863,0.1363964508424579
none,no_resync,60,0.9041364236311479,0.23308720839645677,0.9032100764187899,0.14334331092096284,0.9096436723073323,0.12883674260486883,0.9088477385044097,0.13004360406971055,0.9077196974754335,0.129981588699412
none,online_head_update,60,0.5115109617059881,0.2213711493858163,0.48922527486627754,0.18574300749840666,0.4909169073899587,0.18014930118180683,0.48978841006755836,0.18200549495564672,0.48859398539861043,0.18271892842750578
none,oracle_resync,60,0.7758784120733088,0.3333348632301828,0.7737454414367676,0.29955378410661887,0.770136652390162,0.29527218742259165,0.7702832180261613,0.2949983880017405,0.7706522383689882,0.29433452086583556
none,output_bias_decay,60,0.4947831493976922,0.18106818300650795,0.4735108811191216,0.11358458990605508,0.136422393321991,0.14158749566265774,0.16442830105622613,0.13350747267171426,0.18099110174179076,0.13099668458138425
none,output_bias_persistent,60,0.19359995235096325,0.21438628266595675,0.11848419362848456,0.15217680588900528,0.12857076327006026,0.14760710525834972,0.12762127955754599,0.14590085906190026,0.1277290908495585,0.14563872298637356
none,past_state_jacobian,60,0.8377610466697,0.29954321425705116,0.8368212959983132,0.2580171579233557,0.8050242384274799,0.3128839814224801,0.8057581959168115,0.31054612188773545,0.8066467771530151,0.3082439211283229
ramp,current_reencode,60,1.0745087883689186,0.2913320742570939,1.0778558731079102,0.2009585059398732,1.0803084182739255,0.19435881084975637,1.0816010649998982,0.19575753670781917,1.0812476172447205,0.19537554075472197
ramp,no_resync,60,1.075747619975697,0.2877435945423914,1.0790947047146884,0.198548806995723,1.0814655292034148,0.19416556375554292,1.0828183080752691,0.19495305813856934,1.0827776066462198,0.19424564776408007
ramp,online_head_update,60,0.6431344985961914,0.254329885856174,0.6256019072099166,0.2255562648140989,0.6201729067166645,0.2189092653970962,0.6214356235663097,0.21998984889950216,0.6212392007509867,0.22058895742979068
ramp,oracle_resync,60,0.9254259629683061,0.37876042399999194,0.9274831771850586,0.3386847705996173,0.9223802399635315,0.335223489479046,0.9248479708035785,0.3356006651429778,0.9261401166915895,0.3352785941756909
