seed,disturbance_shape,sensor_r2_test,latent_r2_test,slow_latent_r2_test
42,none,-0.16653168201446533,-0.36431217193603516,-0.3123602867126465
42,step,-355.31182861328125,-361.2791442871094,-359.2835388183594
42,ramp,-13.915144920349121,-14.192428588867188,-14.111443519592285
42,random_walk,-11.1354398727417,-11.626568794250488,-11.421091079711914
43,none,-0.06013226509094238,-0.2744690179824829,-0.10275757312774658
43,step,-206.0015869140625,-198.10032653808594,-205.3939208984375
43,ramp,-7.996698379516602,-7.63127326965332,-7.969565391540527
43,random_walk,-3.3883824348449707,-3.109882354736328,-3.3962130546569824
44,none,-0.6538974046707153,-23.353328704833984,-0.08124339580535889
44,step,-570.8228149414062,-779.5924682617188,-529.3931274414062
44,ramp,-13.658417701721191,-19.5604305267334,-12.518783569335938
44,random_walk,-11.680859565734863,-23.908599853515625,-9.60359001159668
45,none,-0.34169983863830566,-0.22742056846618652,-0.22401368618011475
45,step,-629.6932373046875,-626.8583984375,-626.7767333984375
45,ramp,-9.992452621459961,-9.945186614990234,-9.941717147827148
45,random_walk,-5.96557092666626,-5.902774810791016,-5.9005584716796875
46,none,-0.0009684562683105469,-0.010407447814941406,-0.00748753547668457
46,step,-76.67890930175781,-77.49530029296875,-76.82633209228516
46,ramp,-7.063896179199219,-7.156644821166992,-7.08413028717041
46,random_walk,-2.4874072074890137,-2.566615343093872,-2.4994828701019287
