label_count_requested,model,test_true_mae_mean,test_true_mae_std,test_true_mae_count,test_obs_mae_mean,test_obs_mae_std,test_obs_mae_count,n_train_labels_mean,n_train_labels_std,n_train_labels_count
50,direct,0.28890749514102937,0.056286390947544195,5,0.6591005325317383,0.05418372499077166,5,50.0,0.0,5
50,fusion,0.21221302151679994,0.05518232555560967,5,0.6485807299613953,0.05181239936802631,5,50.0,0.0,5
50,latent,0.20917297005653382,0.03153467296928868,5,0.6584041118621826,0.048565483925836435,5,50.0,0.0,5
50,train_mean,0.2345325231552124,0.03840520041727962,5,0.6509470343589783,0.055285274052942174,5,50.0,0.0,5
100,direct,0.21086656153202057,0.038035787437831696,5,0.6485826969146729,0.06682479800930305,5,100.0,0.0,5
100,fusion,0.20746687650680543,0.04227345254361593,5,0.6415876269340515,0.06365179036573924,5,100.0,0.0,5
100,latent,0.208114555478096,0.029559637585952783,5,0.6470866799354553,0.07525204121148099,5,100.0,0.0,5
100,train_mean,0.25262505412101743,0.01893248104849641,5,0.6538150191307068,0.0513539370165352,5,100.0,0.0,5
200,direct,0.17963211238384247,0.018736504613546777,5,0.6425132632255555,0.048032350650051917,5,199.0,0.0,5
200,fusion,0.17395955622196196,0.019888191426952532,5,0.6372106075286865,0.051715390284858186,5,199.0,0.0,5
200,latent,0.17693215012550353,0.022578528028724152,5,0.6462989330291748,0.047808442026437074,5,199.0,0.0,5
200,train_mean,0.24517831206321716,0.023004791195471205,5,0.6492290019989013,0.047929387000386764,5,199.0,0.0,5
